LACODE,Local Authority Name,SEEDCODE,School Name,National Qualifications Measure,All SCQF Measure
100,Aberdeen City,5246431,St Machar Academy,[c],24.0
100,Aberdeen City,5235634,Bridge Of Don Academy,21.5,34.8
100,Aberdeen City,5244439,Aberdeen Grammar School,57.7,74.3
100,Aberdeen City,5246237,Oldmachar Academy,35.9,49.7
100,Aberdeen City,5234034,Bucksburn Academy,29.3,38.0
100,Aberdeen City,5235839,Cults Academy,58.7,71.4
100,Aberdeen City,5243238,Harlaw Academy,25.8,35.2
100,Aberdeen City,5243432,Hazlehead Academy,25.7,35.6
100,Aberdeen City,5243335,Dyce Academy,21.1,31.0
100,Aberdeen City,1004166,Lochside Academy,11.2,21.9
100,Aberdeen City,5244234,Northfield Academy,[c],4.4
110,Aberdeenshire,5222133,Mintlaw Academy,12.6,19.8
110,Aberdeenshire,5251834,Banchory Academy,48.7,58.3
110,Aberdeenshire,5251931,Mackie Academy,33.3,43.8
110,Aberdeenshire,5232937,Westhill Academy,42.0,56.3
110,Aberdeenshire,5232333,Meldrum Academy,31.7,44.1
110,Aberdeenshire,5231639,Inverurie Academy,29.5,41.9
110,Aberdeenshire,5231434,The Gordon Schools,21.0,31.0
110,Aberdeenshire,5221234,Turriff Academy,14.4,24.2
110,Aberdeenshire,5257530,Aboyne Academy,35.4,46.9
110,Aberdeenshire,5230934,Alford Academy,27.0,39.5
110,Aberdeenshire,5231132,Ellon Academy,29.6,37.8
110,Aberdeenshire,5220734,Peterhead Academy,13.5,23.7
110,Aberdeenshire,5258030,Portlethen Academy,22.9,39.2
110,Aberdeenshire,5219736,Fraserburgh Academy,15.6,20.1
110,Aberdeenshire,5213231,Banff Academy,10.8,22.8
110,Aberdeenshire,5252032,Mearns Academy,27.2,42.6
110,Aberdeenshire,5233038,Kemnay Academy,32.6,49.7
120,Angus,5308038,Montrose Academy,16.0,22.2
120,Angus,5307430,Carnoustie High School,23.2,29.9
120,Angus,5307732,Webster's High School,23.1,26.9
120,Angus,5307236,Brechin High School,12.6,21.0
120,Angus,5307139,Arbroath High School,14.6,24.6
120,Angus,5339537,Monifieth High School,30.7,42.7
120,Angus,5307538,Forfar Academy,15.0,21.5
120,Angus,5307031,Arbroath Academy,12.5,21.6
130,Argyll & Bute,8110638,Tobermory High School,[c],[c]
130,Argyll & Bute,8109931,Islay High School,25.6,30.2
130,Argyll & Bute,8110336,Oban High School,26.0,45.6
130,Argyll & Bute,8110131,Tiree High School,[c],[c]
130,Argyll & Bute,8304734,Hermitage Academy,36.7,42.7
130,Argyll & Bute,8130434,Rothesay Academy,19.3,36.8
130,Argyll & Bute,8110530,Tarbert Academy,30.0,30.0
130,Argyll & Bute,8111030,Lochgilphead High School,29.3,36.0
130,Argyll & Bute,8110239,Dunoon Grammar School,25.0,32.8
130,Argyll & Bute,8110034,Campbeltown Grammar School,16.4,21.3
150,Clackmannanshire,5702534,Alloa Academy,14.2,23.4
150,Clackmannanshire,5702836,Alva Academy,31.2,40.6
150,Clackmannanshire,5702631,Lornshill Academy,13.3,21.8
170,Dumfries & Galloway,5918138,Dalbeattie High School,23.9,42.3
170,Dumfries & Galloway,5903130,Stranraer Academy,21.0,28.1
170,Dumfries & Galloway,5941032,St Joseph's College,33.1,42.8
170,Dumfries & Galloway,5948533,Langholm Academy,29.8,40.4
170,Dumfries & Galloway,1004620,North West Community Campus,7.7,14.1
170,Dumfries & Galloway,5939631,Sanquhar Academy,10.6,21.3
170,Dumfries & Galloway,5939739,Wallace Hall Academy,36.7,50.0
170,Dumfries & Galloway,5939232,Dumfries High School,38.8,52.9
170,Dumfries & Galloway,5918731,Kirkcudbright Academy,39.7,44.4
170,Dumfries & Galloway,5902932,Douglas Ewart High School,17.9,31.3
170,Dumfries & Galloway,5948630,Lockerbie Academy,16.9,23.4
170,Dumfries & Galloway,5948738,Moffat Academy,54.2,62.5
170,Dumfries & Galloway,5939038,Dumfries Academy,22.4,31.6
170,Dumfries & Galloway,5948339,Annan Academy,14.1,21.7
170,Dumfries & Galloway,5918030,Castle Douglas High School,21.5,26.1
180,Dundee City,5339731,Braeview Academy,7.3,17.1
180,Dundee City,5330033,St Paul's RC Academy,17.0,24.8
180,Dundee City,5330432,Morgan Academy,21.8,32.2
180,Dundee City,5329531,Harris Academy,25.9,35.5
180,Dundee City,5329132,Craigie High School,7.5,14.2
180,Dundee City,5331137,Baldragon Academy,11.9,18.8
180,Dundee City,5330831,St John's RC High School,21.3,31.6
