"Reference","Institution_Name","Address_1","Address_2","Address_3","Town_Name","County_Name","Postcode","Telephone","Email","Institution_Type","Management_Type","Latitude","Longitude","Irish_Grid_Reference_X","Irish_Grid_Reference_Y","Current_Approved_Enrolment","Current_Approved_Admissions","Latest_Year_Data","Primary_Reception_Pupil","Number_Year_1","Number_Year_2","Number_Year_3","Number_Year_4","Number_Year_5","Number_Year_6","Number_Year_7","Number_Year_8","Number_Year_9","Number_Year_10","Number_Year_11","Number_Year_12","Number_Year_13","Number_Year_14","Number_Year_15","Number_of_FTE_Staff","Pupil_Teacher_Ratio"
"1AB0427","174 Trust Playgroup","Duncairn Complex","1 Duncairn Avenue","","BELFAST","ANTRIM","BT14 6BP","9074 7114","kaokane@outlook.com","VP Pre-schools","Other","54.61253","-5.93645","333368","375771","","","2015","","","","","","","","","","","","","","","","","",""
"5420059","Abbey Christian Brothers Grammar School","77a Ashgrove Road","","","NEWRY","DOWN","BT34 2QN","028 3026 3142","info@abbey.newry.ni.sch.uk","Secondary (grammar) school","Voluntary","54.19349","-6.32846","309151","328458","850","125","2015","","","","","","","","","127","132","134","133","132","118","126","0","57.05","15.81"
"3210313","Abbey Community College","Bridge Road","Monkstown","","NEWTOWNABBEY","ANTRIM","BT37 0EA","9086 7431/9086 7432","info@abbeycommunitycollege.newtownabbey.ni.sch.uk","Secondary (non-grammar) school","Controlled","54.69015","-5.91848","334273","384444","820","140","2015","","","","","","","","","85","77","99","133","139","50","30","0","45.4","13.5"
"4016399","Abbey Primary School","90 MOVILLA ROAD","","","NEWTOWNARDS","DOWN","BT23 8RQ","028 9181 9141","info@abbeyprimary.newtownards.ni.sch.uk","Primary school","Controlled","54.59601","-5.66723","350820","374476","610","87","2015","0","78","67","82","83","84","75","81","","","","","","","","","23.2","24.83"
"3010862","Abbots Cross Primary School","86 DOAGH ROAD","","","NEWTOWNABBEY","ANTRIM","BT37 9QW","028 9086 4171","info@abbotscrossps.newtownabbey.ni.sch.uk","Primary school","Controlled","54.66801","-5.91408","334630","381988","523","75","2015","0","50","42","48","48","34","40","43","","","","","","","","","16","19.06"
"5011594","Abercorn Primary School","NEWRY ROAD","","","BANBRIDGE","DOWN","BT32 3HR","028 406 62880","info@abercorn.banbridge.ni.sch.uk","Primary school","Controlled","54.34449101","-6.274800943","312245","345349","434","60","2015","0","56","44","50","51","62","60","41","","","","","","","","","15.38","23.67"
"4016201","Academy Primary School","194 LISTOODER ROAD","","","SAINTFIELD","DOWN","BT24 7JA","028 9751 0407","info@academyps.ballynahinch.ni.sch.uk","Primary school","Controlled","54.45582","-5.83136","340695","358534","395","56","2015","0","55","53","55","54","56","47","58","","","","","","","","","15.69","25.75"
"3066568","Acorn Integrated Primary School","110 VICTORIA ROAD","","","CARRICKFERGUS","ANTRIM","BT38 7JL","028 9336 0115","info@acornintegratedps.carrickfergus.ni.sch.uk","Primary school","Grant Maintained Integrated","54.73025","-5.79689","341972","389146","203","29","2015","0","29","30","30","27","29","28","28","","","","","","","","","9.4","22.82"
"3AB0128","Aghadowey Pre-School Playgroup","32 Mullaghinch Road","","Aghadowey","COLERAINE","LONDONDERRY","BT51 4AP","07708584046 / 02870868892","","VP Pre-schools","Other","55.02852","-6.61896","288364","420995","","","2015","","","","","","","","","","","","","","","","","",""
"2011873","Aghadrumsee Primary School","14 AGHADRUMSEE ROAD","","","ENNISKILLEN","FERMANAGH","BT92 7AU","028 6775 1285","info@aghadrumseeps.enniskillen.ni.sch.uk","Primary school","Controlled","54.22984","-7.27745","247170","331454","81","12","2015","4","3","12","5","6","2","2","2","","","","","","","","","2.4","15"
