Reference,School Name,% attendance,% absence,% authorised absence,% unauthorised absence
1310003,Cedar Lodge School,77.4,22.7,6.7,16
1310012,Fleming Fulton School,81,19,11.5,7.5
1310014,Harberton School,90.5,9.5,6.7,2.8
1310016,Mitchell House School,77.1,22.9,12.2,10.7
1310017,Greenwood Assessment Centre,88.9,11.1,10.3,0.8
1316500,Park Education Resource Centre,82,18,6.5,11.5
1316569,Glenveagh School,85.9,14.1,11.9,2.2
1316582,Oakwood School and Assessment Centre,86.8,13.2,10.6,2.7
1316584,Clarawood School,80.8,19.2,4.7,14.5
1336548,St Gerard's Resource Centre,84.9,15.1,9.3,5.8
2316528,Knockavoe School,86.1,13.9,9.5,4.4
2316661,Arvalee School and Resource Centre,86.9,13.1,9.8,3.3
2316662,Rossmar School,89.1,10.9,8.8,2.1
2316694,Willowbridge School,87.4,12.6,9.1,3.5
2316695,Ardnashee School and College,86.5,13.5,9.1,4.4
3310018,Rosstulla School,81.6,18.4,10.4,8
3316510,Hillcroft School,85.7,14.3,10.8,3.5
3316512,Sandelford School,89.1,10.9,6.5,4.4
3316514,Roddensvale School,87.2,12.8,11.5,1.3
3316547,Thornfield House School,86.6,13.4,12.1,1.4
3316570,Kilronan School,90.8,9.2,8.7,0.5
3316609,Riverside School,90.3,9.7,9,0.8
3316676,Castle Tower School,86.9,13.1,6.3,6.8
3340002,Jordanstown School,81,19,6,13
4310008,Beechlawn School,85.7,14.4,9.2,5.2
4310013,Killard HouseSchool,90.4,9.6,6.2,3.5
4310019,Ardmore House School,70.7,29.3,8.7,20.6
4316022,Brookfield School,89.6,10.5,5.8,4.7
4316273,Longstone School,79.6,20.4,10.3,10.1
4316515,Parkview School,80.4,19.6,17.7,1.8
4316516,Knockevin School,90.2,9.8,8.9,0.9
4316517,Tor Bank School,87.7,12.3,11.2,1.1
4316518,Clifton School,84.5,15.5,10.6,5
4316614,Lakewood School,94.5,5.5,5.5,0
5316519,Rathore School,86.7,13.3,8.4,4.9
5316520,Donard School,86.3,13.7,10.2,3.6
5316521,Ceara School,88.3,11.7,5.9,5.7
5316523,Sperrinview School,90.2,9.8,6.7,3.1
5316577,Lisanally School,89.2,10.8,8.6,2.2
