De ref,school name,address 1,town,postcode,school type,management type,constituency,council,rural     ,total enrolment,male,female,fsme,free school meals,Protestant,% Protestant,Catholic,% Catholic,Other Christian / non-Christian / no religion / unknown,% Other Christian / non-Christian / no religion / unknown
1010012,Belmont Primary School,215 BELMONT ROAD,BELFAST,BT42AG,Primary,Controlled,BELFAST EAST,BELFAST,Urban,254,143,111,21,8.30%,154,60.6,9,3.5,91,35.8
1010063,Currie Primary School,111-113 LIMESTONE ROAD,BELFAST,BT153AB,Primary,Controlled,BELFAST NORTH,BELFAST,Urban,175,86,89,142,81.10%,115,65.7,5,2.9,55,31.4
1010146,Euston Street Primary School,163 EUSTON STREET,BELFAST,BT69AG,Primary,Controlled,BELFAST EAST,BELFAST,Urban,341,151,190,212,62.20%,137,40.2,56,16.4,148,43.4
1010157,Rosetta Primary School,21-23 KNOCKBREDA ROAD,BELFAST,BT60JA,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban,279,141,138,90,32.30%,118,42.3,31,11.1,130,46.6
1010205,Forth River Primary School,100 CAIRNMARTIN ROAD,BELFAST,BT133PQ,Primary,Controlled,BELFAST WEST,BELFAST,Urban,205,100,105,84,41.00%,187,91.2,0,0,18,8.8
1010221,Springfield Primary School,425 SPRINGFIELD ROAD,BELFAST,BT127DJ,Primary,Controlled,BELFAST WEST,BELFAST,Urban,175,93,82,85,48.60%,147,84,*,*,#,#
1010232,Harding Memorial Primary School,105-107 CREGAGH ROAD,BELFAST,BT68PZ,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban,209,112,97,88,42.10%,102,48.8,22,10.5,85,40.7
1010252,Strandtown Primary School,NORTH ROAD,BELFAST,BT43DJ,Primary,Controlled,BELFAST EAST,BELFAST,Urban,976,504,472,182,18.60%,570,58.4,40,4.1,366,37.5
1010255,Elmgrove Primary School,289 BEERSBRIDGE ROAD,BELFAST,BT54RS,Primary,Controlled,BELFAST EAST,BELFAST,Urban,674,322,352,462,68.50%,373,55.3,49,7.3,252,37.4
1010266,"Seaview Primary School, Belfast",SEAVIEW DRIVE,BELFAST,BT153NB,Primary,Controlled,BELFAST NORTH,BELFAST,Urban,443,224,219,258,58.20%,244,55.1,15,3.4,184,41.5
1010267,Nettlefield Primary School,16 RADNOR STREET,BELFAST,BT68BG,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban,381,204,177,267,70.10%,216,56.7,62,16.3,103,27
1010273,Orangefield Primary School,MARINA PARK,BELFAST,BT56BA,Primary,Controlled,BELFAST EAST,BELFAST,Urban,468,253,215,84,17.90%,230,49.1,8,1.7,230,49.1
