Local Authority,SeedCode,School Name,School Type,Teachers (Full Time Equivalent) [Note 1],Pupil roll,Pupil Teacher Ratio,Average class size,Female,Male,P1,P2,P3,P4,P5,P6,P7,S1,S2,S3,S4,S5,S6,Special school pupils,Pupils with an Additional Support Need recorded,Pupils with no Additional Support Needs recorded,Pupils with English as an Additional Language [Note 2],Pupils without English as an Additional Language [Note 2],Pupils taught in Gaelic [Note 3],Pupils with no Gaelic taught [Note 3],White - British [Note 4],White - Other [Note 4],Minority Ethnic [Note 4],Not known/not disclosed [Note 4],P1-P5 pupils registered for free school meals [Note 5],Percentage of P1-P5 pupils registered for free school meals [Note 5],P6-P7/S1-S6/SP pupils registered for free school meals [Note 5],Percentage of P6-P7/S1-S6/SP pupils registered for free school meals [Note 5],SIMD Quintile 1 [Note 6],SIMD Quintile 2 [Note 6],SIMD Quintile 3 [Note 6],SIMD Quintile 4 [Note 6],SIMD Quintile 5 [Note 6],SIMD not availble [Note 6],Urban [Note 7],Small town [Note 7],Rural [Note 7],Urban/rural classification not available [Note 7],Attendance rate (%)[Note 8] [Note 9],Authorised absence rate (%) [Note 8] [Note 9],Unauthorised absence rate (%)[Note 8] [Note 9],Absence due to temporary exclusion rate (%) [Note 8] [Note 9],School's 6-fold urban/rural classification,School's 8-fold urban/rural classification,Denomination of school,,
Aberdeen City,5237521,Abbotswell School,Primary,16.2,231,14.3,23.1,110,121,34,31,27,34,31,40,34,z,z,z,z,z,z,z,139,92,53,178,0,231,134,47,47,C,157,100,29,39.2,44,46,107,32,C,C,90-100%,0-10%,0-10%,0-10%,92.4,6.5,1.1,C,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5237629,Airyhall School,Primary,19.9,372,18.7,26.6,174,198,55,46,55,68,60,30,58,z,z,z,z,z,z,z,92,280,68,304,0,372,248,33,90,C,284,100,C,C,0,5,30,8,329,0,80-90%,0-10%,10-20%,0-10%,95.9,2.6,1.6,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5237823,Ashley Road School,Primary,20.7,441,21.3,29.4,217,224,50,51,54,62,66,62,96,z,z,z,z,z,z,z,54,387,105,336,0,441,224,62,151,C,283,100,6,3.8,C,8,16,59,357,C,90-100%,0-10%,0-10%,0-10%,95.2,3.4,1.4,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5234026,Braehead School,Primary,18.2,303,16.6,25.3,139,164,43,53,26,48,46,42,45,z,z,z,z,z,z,z,109,194,63,240,0,303,177,44,81,C,216,100,13,14.9,12,23,21,137,110,0,90-100%,0-10%,0-10%,0-10%,93.5,4.6,1.9,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5238129,Bramble Brae School,Primary,8.0,126,15.7,21,61,65,14,17,17,20,13,25,20,z,z,z,z,z,z,z,95,31,8,118,0,126,108,10,7,C,81,100,32,71.1,44,78,C,0,C,0,90-100%,0-10%,0-10%,0-10%,87.3,9.7,3.1,C,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,1002929,Brimmond School,Primary,23.1,437,18.9,27.3,204,233,56,53,79,54,61,77,57,z,z,z,z,z,z,z,207,230,59,378,0,437,321,64,51,C,303,100,23,17.2,C,68,159,71,136,C,80-90%,0-10%,10-20%,0-10%,93.2,4.8,2.1,C,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5238226,Broomhill School,Primary,23.0,444,19.3,26.1,226,218,64,63,76,72,63,64,42,z,z,z,z,z,z,z,46,398,55,389,0,444,259,36,134,15,338,100,C,C,C,30,65,42,304,C,90-100%,0-10%,0-10%,0-10%,94.5,4.4,1.1,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5246423,Charleston School,Primary,17.2,269,15.6,22.4,134,135,53,36,33,40,45,32,30,z,z,z,z,z,z,z,83,186,34,235,0,269,189,24,53,C,207,100,C,C,C,5,10,134,119,C,50-60%,0-10%,40-50%,0-10%,93.9,4.2,1.9,C,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5238625,Cornhill School,Primary,24.0,414,17.2,25.9,187,227,57,65,60,63,51,60,58,z,z,z,z,z,z,z,232,182,108,306,0,414,202,59,152,C,296,100,24,20.3,101,237,14,56,6,0,90-100%,0-10%,0-10%,0-10%,92.9,4.7,2.4,C,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,1004247,Countesswells School,Primary,14.1,197,14,19.7,97,100,38,39,25,29,26,22,18,z,z,z,z,z,z,z,76,121,15,182,0,197,147,21,29,0,157,100,11,27.5,C,5,53,C,136,0,0-10%,0-10%,80-90%,0-10%,94.3,4.0,1.7,C,Large urban areas,Large urban areas,Non-denominational,,
