Stage,LA Name,Seed Code,School Name,Organiser,Percentage Achieved expected level
"P1, P4 & P7 combined",Aberdeen City,1002929,Brimmond School,Listening and Talking,87.01298701
"P1, P4 & P7 combined",Aberdeen City,1002929,Brimmond School,Reading,67.53246753
"P1, P4 & P7 combined",Aberdeen City,1002929,Brimmond School,Writing,55.84415584
"P1, P4 & P7 combined",Aberdeen City,1002929,Brimmond School,Numeracy,63.63636364
S3,Aberdeen City,1004166,Lochside Academy,Listening and Talking,57.60368664
S3,Aberdeen City,1004166,Lochside Academy,Reading,60.82949309
S3,Aberdeen City,1004166,Lochside Academy,Writing,58.06451613
S3,Aberdeen City,1004166,Lochside Academy,Numeracy,82.94930876
"P1, P4 & P7 combined",Aberdeen City,1004247,Countesswells School,Listening and Talking,64.1025641
"P1, P4 & P7 combined",Aberdeen City,1004247,Countesswells School,Reading,66.66666667
"P1, P4 & P7 combined",Aberdeen City,1004247,Countesswells School,Writing,53.84615385
"P1, P4 & P7 combined",Aberdeen City,1004247,Countesswells School,Numeracy,56.41025641
"P1, P4 & P7 combined",Aberdeen City,5230420,Riverbank School,Listening and Talking,88.23529412
"P1, P4 & P7 combined",Aberdeen City,5230420,Riverbank School,Reading,70.58823529
"P1, P4 & P7 combined",Aberdeen City,5230420,Riverbank School,Writing,63.97058824
"P1, P4 & P7 combined",Aberdeen City,5230420,Riverbank School,Numeracy,67.64705882
"P1, P4 & P7 combined",Aberdeen City,5230624,Westpark School,Listening and Talking,91
"P1, P4 & P7 combined",Aberdeen City,5230624,Westpark School,Reading,85
"P1, P4 & P7 combined",Aberdeen City,5230624,Westpark School,Writing,73
"P1, P4 & P7 combined",Aberdeen City,5230624,Westpark School,Numeracy,73
"P1, P4 & P7 combined",Aberdeen City,5230829,Heathryburn School,Listening and Talking,70.71428571
"P1, P4 & P7 combined",Aberdeen City,5230829,Heathryburn School,Reading,70
"P1, P4 & P7 combined",Aberdeen City,5230829,Heathryburn School,Writing,65
"P1, P4 & P7 combined",Aberdeen City,5230829,Heathryburn School,Numeracy,70
"P1, P4 & P7 combined",Aberdeen City,5234026,Braehead School,Listening and Talking,89.51612903
"P1, P4 & P7 combined",Aberdeen City,5234026,Braehead School,Reading,88.70967742
"P1, P4 & P7 combined",Aberdeen City,5234026,Braehead School,Writing,82.25806452
"P1, P4 & P7 combined",Aberdeen City,5234026,Braehead School,Numeracy,80.64516129
S3,Aberdeen City,5234034,Bucksburn Academy,Listening and Talking,87.87878788
S3,Aberdeen City,5234034,Bucksburn Academy,Reading,87.87878788
S3,Aberdeen City,5234034,Bucksburn Academy,Writing,87.87878788
S3,Aberdeen City,5234034,Bucksburn Academy,Numeracy,84.24242424
"P1, P4 & P7 combined",Aberdeen City,5234123,Scotstown School,Listening and Talking,91.78082192
"P1, P4 & P7 combined",Aberdeen City,5234123,Scotstown School,Reading,84.93150685
"P1, P4 & P7 combined",Aberdeen City,5234123,Scotstown School,Writing,76.71232877
"P1, P4 & P7 combined",Aberdeen City,5234123,Scotstown School,Numeracy,79.45205479
"P1, P4 & P7 combined",Aberdeen City,5234522,Culter School,Listening and Talking,94.4
"P1, P4 & P7 combined",Aberdeen City,5234522,Culter School,Reading,92.8
"P1, P4 & P7 combined",Aberdeen City,5234522,Culter School,Writing,87.2
"P1, P4 & P7 combined",Aberdeen City,5234522,Culter School,Numeracy,88
"P1, P4 & P7 combined",Aberdeen City,5234727,Cults Primary School,Listening and Talking,96.35036496
"P1, P4 & P7 combined",Aberdeen City,5234727,Cults Primary School,Reading,91.60583942
