Reference,School Name,% attendance,% absence,% authorised absence,% unauthorised absence
1010012,"Belmont Primary School, Belfast",96.2,3.8,2.8,1
1010063,"Currie Primary School, Belfast",85.7,14.3,7.4,6.9
1010146,"Euston Street Primary School, Belfast",88.1,11.9,3.4,8.5
1010157,Rosetta Primary School,92.3,7.7,4,3.7
1010205,"Forth River Primary School, Belfast",91.5,8.5,2.8,5.8
1010221,"Springfield Primary School, Belfast",89.4,10.6,3.7,6.9
1010252,"Strandtown Primary School, Belfast",94.4,5.6,3.4,2.2
1010255,"Elmgrove Primary School, Belfast",88.2,11.8,2.8,9
1010266,"Seaview Primary School, Belfast",93.1,6.9,4.9,2
1010267,"Nettlefield Primary School, Belfast",88.4,11.6,5.4,6.2
1010273,"Orangefield Primary School, Belfast",94.4,5.6,3.2,2.4
1010282,"Carr's Glen Primary School, Belfast",90.9,9.1,4.4,4.7
1010301,"Taughmonagh Primary School, Belfast",89.1,10.9,4.7,6.2
1010304,"Greenwood Primary School, Belfast",95.5,4.6,3.6,0.9
1010307,"Springhill Primary School, Belfast",93.1,6.9,5.6,1.3
1010323,"Edenbrooke Primary School, Belfast",87.1,12.9,5.9,7
1010324,"Stranmillis Primary School, Belfast",97,3,2.1,0.9
1010325,"Ligoniel Primary School, Belfast",92.3,7.8,4.7,3.1
1010806,"Finaghy Primary School, Belfast",92.8,7.2,2.8,4.4
1010831,"Cavehill Primary School, Belfast",93.1,6.9,4.7,2.2
1013018,"Knocknagoney Primary School, Belfast",91,9,3.9,5.1
1016059,"Black Mountain Primary School, Belfast",89.4,10.6,3.2,7.4
1016060,"Donegall Road Primary School, Belfast",85.7,14.3,5.2,9.2
1016076,Ballysillan Primary School,91.1,8.9,4.1,4.8
1016205,"Fane Street Primary School, Belfast",83.5,16.5,12.4,4.1
1016207,"Blythefield Primary School, Belfast",86.2,13.8,5.1,8.7
1016242,"Dundela Infants Primary School, Belfast",91.8,8.2,6.2,2.1
1016485,"Glenwood Primary School, Belfast",86,14,4.9,9.1
1016498,"Malvern Primary School, Belfast",84.8,15.2,3.6,11.6
1016499,"Botanic Primary School, Belfast",89,11,5,6.1
1016532,"Wheatfield Primary School, Belfast",87.4,12.6,3.8,8.8
1016537,"Lowwood Primary School, Belfast",91.7,8.4,3.4,4.9
1016604,"Harmony Primary School, Belfast",89,11,5.9,5.2
1016647,"Bunscoil Mhic Reachtain, Belfast",89,11,4.1,6.9
1016655,Victoria Park Primary School,89.2,10.8,5.6,5.2
1030194,"Holy Cross Boys' Primary School, Belfast",89.7,10.3,10,0.3
1030313,"Our Lady of Lourdes Primary School, Belfast",95,5,4.1,0.9
1030327,"Holy Rosary Primary School, Belfast",89.2,10.8,5.4,5.5
1030331,"Holy Cross Girls' Primary School, Belfast",90.1,10,4.8,5.2
1030868,"St Anne's Primary School, Belfast",94.5,5.5,4.5,1
1036041,"Mercy Primary School, Belfast",90.5,9.5,4.2,5.4
1036042,St Vincent de Paul Primary School,89.5,10.5,3.5,7.1
1036048,"St Mary's Star of the Sea Primary School, Belfast",88.4,11.7,3.6,8.1
1036075,"St Bride's Primary School, Belfast",95.4,4.7,3.1,1.6
1036132,"St Therese of Lisieux Primary School, Belfast",94.2,5.8,3.5,2.3
1036140,"St Michael's Primary School, Belfast",95,5,3.4,1.6
1036246,"St Joseph's Primary School, Holland Dr",94.4,5.6,4.2,1.4
1036388,"St Mary's Primary School, Belfast",84.5,15.6,5.5,10.1
1036466,"St Malachy's Primary School, Belfast",93.8,6.2,3.6,2.6
1036505,"St Matthew's Primary School, Belfast",90.5,9.5,4.3,5.2
1036565,St Kevin's Primary School,89.1,10.9,3.8,7.1
1036566,"Holy Family Primary School, Belfast",90.2,9.8,4.4,5.4
1036576,"Holy Child Primary School, Belfast",92.7,7.3,7.2,0.1
1036589,"St Teresa's Primary School, Belfast",94,6,5.6,0.4
