Reference,School Name,% attendance,% absence,% authorised absence,% unauthorised absence
1210014,"Ashfield Girls' High School, Belfast",83.8,16.2,9.9,6.3
1210015,"Ashfield Boys' High School, Belfast",87.8,12.2,7.9,4.3
1210021,Belfast Model School for Girls,85.4,14.6,11,3.6
1210022,Belfast Boys' Model School,85.7,14.3,5.6,8.7
1230053,St Louise's Comprehensive College,85.4,14.6,5.8,8.8
1230104,"Mercy College, Belfast",78.1,21.9,8.1,13.8
1230155,"St Genevieve's High School, Belfast",82.9,17.1,14.8,2.3
1230182,De La Salle College,82,18,10.7,7.3
1230275,"St Joseph's College, Belfast",85.7,14.3,9.2,5.1
1230321,Blessed Trinity College,93.5,6.5,2.3,4.3
1230324,All Saints College,75.7,24.3,7.2,17.1
1240291,Colaiste Feirste,88.9,11.1,9.4,1.7
1260269,"Hazelwood Integrated College, Newtownabbey",88.4,11.6,5.2,6.4
1260294,Malone Integrated College,83.5,16.5,9.5,6.9
1410079,"Grosvenor Grammar School, Belfast",94.2,5.8,4.1,1.8
1410270,"Wellington College, Belfast",92.3,7.7,5.4,2.3
1410315,"Bloomfield Collegiate School, Belfast",92.4,7.6,5.7,1.9
1420020,"Campbell College, Belfast",94.6,5.4,3.8,1.6
1420021,"St Mary's Christian Brothers Grammar School, Belfast",91.6,8.4,6.7,1.8
1420022,"Methodist College, Belfast",93.7,6.3,5.3,1
1420027,The Royal Belfast Academical Institution,94.2,5.8,5.2,0.6
1420028,Belfast Royal Academy,94.8,5.2,4.9,0.3
1420029,"St Dominic's High School, Belfast",92.2,7.8,7.1,0.7
1420030,"St Malachy's College, Belfast",93.7,6.3,5.9,0.4
1420082,"Dominican College, Fortwilliam",91.7,8.3,3.7,4.6
1420089,"Strathearn School, Belfast",94,6,5.3,0.7
1420095,Rathmore Grammar School,94.5,5.5,4.9,0.6
1420264,Victoria College,93.3,6.7,4.7,2
1420265,"Hunterhouse College, Belfast",93.2,6.8,4,2.8
1420277,"Aquinas Grammar School, Belfast",95.4,4.6,4.3,0.3
2210065,Castlederg High School,88.2,11.8,5.6,6.2
2210125,Omagh High School,90.8,9.2,6.9,2.4
2210302,Limavady High School,87.7,12.4,5,7.3
2210306,"Lisneal College, Londonderry",89.5,10.5,3.5,7
2210312,"Devenish College, Enniskillen",87.8,12.3,5.4,6.9
2230077,"St Mary's, Limavady",88.5,11.5,5.8,5.7
2230081,"St Mary's College, Londonderry",86.6,13.4,8.6,4.8
2230099,"St Fanchea's College, Enniskillen",87.3,12.7,9.3,3.5
2230100,"St Joseph's College, Enniskillen",86.2,13.8,6.6,7.3
2230109,"St Mary's College, Irvinestown",86.2,13.9,5.9,8
2230122,"St Patrick's & St Brigid's College, Claudy",88.3,11.7,7.6,4.1
2230131,"St Joseph's Boys' School, Creggan",81.5,18.5,5.4,13.1
2230138,"Dean Maguirc College, Carrickmore",92.3,7.7,6.3,1.4
2230144,"St Patrick's College, Dungiven",89.3,10.7,5.6,5.1
2230148,St John's Business and Enterprise College,87,13,11.8,1.2
2230166,"St Aidan's High School, Derrylin",91.5,8.5,7.3,1.2
2230188,"St Cecilia's College, Derry",84.5,15.5,4.9,10.6
2230225,"St Brigid's College, Carnhill",87.1,12.9,5.7,7.2
2230298,"Sacred Heart College, Omagh",89.7,10.3,6,4.3
2230301,"Holy Cross College, Strabane",87.3,12.7,7.2,5.5
