De ref,school name,address 1,town,postcode,school type,management type,constituency,council,rural     ,total pupils,fsme,free school meals,Protestant,% Protestant,Catholic,% Catholic,Other Christian / non-Christian / no religion / unknown,% Other Christian / non-Christian / no religion / unknown,Newcomer,Total enrolment,% Newcomer
1210014,Ashfield Girls' High School,397 HOLYWOOD ROAD,BELFAST,BT42LY,Secondary,Controlled,BELFAST EAST,BELFAST,Urban,696,301,43.20%,483,69.4,36,5.2,177,25.4,40,696,5.70%
1210015,Ashfield Boys' High School,395 HOLYWOOD ROAD,BELFAST,BT42LY,Secondary,Controlled,BELFAST EAST,BELFAST,Urban,728,332,45.60%,563,77.3,14,1.9,151,20.7,10,728,1.40%
1210021,Belfast Model School For Girls,35 DUNOWEN GARDENS,BELFAST,BT146NQ,Secondary,Controlled,BELFAST NORTH,BELFAST,Urban,954,572,60.00%,880,92.2,8,0.8,66,6.9,13,954,1.40%
1210022,Belfast Boys' Model School,BALLYSILLAN ROAD,BELFAST,BT146RB,Secondary,Controlled,BELFAST NORTH,BELFAST,Urban,991,575,58.00%,900,90.8,10,1,81,8.2,7,991,0.70%
1230026,"St Patrick's College, Belfast",619-629 ANTRIM ROAD,BELFAST,BT154DZ,Secondary,Catholic Maintained,BELFAST NORTH,BELFAST,Urban,654,414,63.30%,6,0.9,627,95.9,21,3.2,12,654,1.80%
1230053,St Louise's Comprehensive College,468 FALLS ROAD,BELFAST,BT126EN,Secondary,Catholic Maintained,BELFAST WEST,BELFAST,Urban,1420,847,59.60%,*,*,1398,98.5,#,#,6,1420,0.40%
1230089,Little Flower Girls' School,71A SOMERTON ROAD,BELFAST,BT154DE,Secondary,Catholic Maintained,BELFAST NORTH,BELFAST,Urban,633,359,56.70%,*,*,618,97.6,#,#,14,633,2.20%
1230104,Mercy College,BALLYSILLAN ROAD,BELFAST,BT147QR,Secondary,Catholic Maintained,BELFAST NORTH,BELFAST,Urban,452,323,71.50%,7,1.5,441,97.6,4,0.9,9,452,2.00%
1230130,St Rose?s Dominican College,65 BEECHMOUNT AVENUE,BELFAST,BT127NA,Secondary,Catholic Maintained,BELFAST WEST,BELFAST,Urban,240,171,71.30%,*,*,224,93.3,#,#,11,240,4.60%
1230146,"Christian Brothers School, Belfast",GLEN ROAD,BELFAST,BT118BW,Secondary,Catholic Maintained,BELFAST WEST,BELFAST,Urban,500,326,65.20%,*,*,486,97.2,#,#,8,500,1.60%
1230155,St Genevieve's High School,TRENCH HOUSE,BELFAST,BT119JP,Secondary,Catholic Maintained,BELFAST WEST,BELFAST,Urban,1059,591,55.80%,0,0,1051,99.2,8,0.8,*,1059,*
1230182,De La Salle College,36 EDENMORE DRIVE,BELFAST,BT118LT,Secondary,Catholic Maintained,BELFAST WEST,BELFAST,Urban,1104,588,53.30%,0,0,1098,99.5,6,0.5,*,1104,*
1230262,Corpus Christi College,ARD NA VA ROAD,BELFAST,BT126FF,Secondary,Catholic Maintained,BELFAST WEST,BELFAST,Urban,258,189,73.30%,0,0,236,91.5,22,8.5,27,258,10.50%
1230275,"St Joseph's College, Belfast",518-572 RAVENHILL ROAD,BELFAST,BT60BY,Secondary,Catholic Maintained,BELFAST SOUTH,BELFAST,Urban,631,324,51.30%,15,2.4,515,81.6,101,16,67,631,10.60%
1240291,Colaiste Feirste,7 BEECHVIEW PARK,BELFAST,BT127PY,Secondary,Other Maintained,BELFAST WEST,BELFAST,Urban,646,418,64.70%,0,0,597,92.4,49,7.6,0,646,0.00%
1260269,Hazelwood College,70 WHITEWELL ROAD,NEWTOWNABBEY,BT367ES,Secondary,GMI,BELFAST NORTH,BELFAST,Urban,936,545,58.20%,447,47.8,292,31.2,197,21,41,936,4.40%
1260294,Malone Integrated College,45 FINAGHY ROAD NORTH,BELFAST,BT100JB,Secondary,GMI,BELFAST SOUTH,BELFAST,Urban,535,359,67.10%,283,52.9,134,25,118,22.1,102,535,19.10%
1410079,Grosvenor Grammar School,50 MARINA PARK,BELFAST,BT56BA,Grammar,Controlled,BELFAST EAST,BELFAST,Urban,1086,103,9.50%,689,63.4,44,4.1,353,32.5,*,1086,*
1410270,Wellington College,18 CAROLAN ROAD,BELFAST,BT73HE,Grammar,Controlled,BELFAST SOUTH,BELFAST,Urban,765,174,22.70%,436,57,55,7.2,274,35.8,6,765,0.80%
1410315,Bloomfield Collegiate,8 ASTORIA GARDENS,BELFAST,BT56HW,Grammar,Controlled,BELFAST EAST,BELFAST,Urban,688,115,16.70%,511,74.3,45,6.5,132,19.2,*,688,*
1420020,Campbell College,BELMONT ROAD,BELFAST,BT42ND,Grammar,Voluntary,BELFAST EAST,BELFAST,Urban,921,16,1.70%,501,54.4,91,9.9,329,35.7,55,921,6.00%
1420021,"St Mary's Christian Brothers' Grammar, Belfast",147A GLEN ROAD,BELFAST,BT118NR,Grammar,Voluntary,BELFAST WEST,BELFAST,Urban,1161,447,38.50%,*,*,1142,98.4,#,#,*,1161,*
1420022,Methodist College,1 MALONE ROAD,BELFAST,BT96BY,Grammar,Voluntary,BELFAST SOUTH,BELFAST,Urban,1777,120,6.80%,692,38.9,367,20.7,718,40.4,6,1777,0.30%
1420027,The Royal Belfast Academical Institution,COLLEGE SQUARE EAST,BELFAST,BT16DL,Grammar,Voluntary,BELFAST SOUTH,BELFAST,Urban,1025,78,7.60%,616,60.1,125,12.2,284,27.7,*,1025,*
1420028,Belfast Royal Academy,5-17 CLIFTONVILLE ROAD,BELFAST,BT146JL,Grammar,Voluntary,BELFAST NORTH,BELFAST,Urban,1421,222,15.60%,718,50.5,369,26,334,23.5,*,1421,*
1420029,"St Dominic's High School, Belfast",135-137 FALLS ROAD,BELFAST,BT126AE,Grammar,Voluntary,BELFAST WEST,BELFAST,Urban,1034,296,28.60%,*,*,#,#,*,*,0,1034,0.00%
1420030,"St Malachy's College, Belfast",36 ANTRIM ROAD,BELFAST,BT152AE,Grammar,Voluntary,BELFAST NORTH,BELFAST,Urban,1078,229,21.20%,*,*,1068,99.1,#,#,*,1078,*
1420082,"Dominican College, Belfast",38 FORTWILLIAM PARK,BELFAST,BT154AQ,Grammar,Voluntary,BELFAST NORTH,BELFAST,Urban,1005,191,19.00%,*,*,970,96.5,#,#,*,1005,*
1420089,"Strathearn School, Belfast",188 BELMONT ROAD,BELFAST,BT42AU,Grammar,Voluntary,BELFAST EAST,BELFAST,Urban,772,42,5.40%,519,67.2,28,3.6,225,29.1,*,772,*
1420095,Rathmore Grammar School,KINGSWAY,BELFAST,BT100LF,Grammar,Voluntary,BELFAST SOUTH,BELFAST,Urban,1269,109,8.60%,8,0.6,1222,96.3,39,3.1,*,1269,*
1420264,Victoria College,CRANMORE PARK,BELFAST,BT96JA,Grammar,Voluntary,BELFAST SOUTH,BELFAST,Urban,881,95,10.80%,445,50.5,245,27.8,191,21.7,25,881,2.80%
1420265,Hunterhouse College,UPPER LISBURN ROAD,BELFAST,BT100LE,Grammar,Voluntary,BELFAST SOUTH,BELFAST,Urban,702,100,14.20%,434,61.8,142,20.2,126,17.9,*,702,*
1420277,Aquinas Diocesan Grammar School,518 RAVENHILL ROAD,BELFAST,BT60BY,Grammar,Voluntary,BELFAST SOUTH,BELFAST,Urban,811,61,7.50%,7,0.9,750,92.5,54,6.7,9,811,1.10%
2210065,Castlederg High School,16 CASTLEGORE ROAD,CASTLEDERG,BT817RU,Secondary,Controlled,WEST TYRONE,DERRY CITY AND STRABANE,Rural,406,177,43.60%,382,94.1,13,3.2,11,2.7,*,406,*
2210125,Omagh High School,14 CREVENAGH ROAD,OMAGH,BT790EQ,Secondary,Controlled,WEST TYRONE,FERMANAGH AND OMAGH,Urban,412,129,31.30%,362,87.9,16,3.9,34,8.3,10,412,2.40%
2210302,Limavady High School,64 IRISH GREEN STREET,LIMAVADY,BT499AN,Secondary,Controlled,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Urban,720,302,41.90%,586,81.4,57,7.9,77,10.7,*,720,*
2210306,Lisneal College,70 CRESCENT LINK ROAD,LONDONDERRY,BT475FQ,Secondary,Controlled,FOYLE,DERRY CITY AND STRABANE,Urban,587,291,49.60%,535,91.1,8,1.4,44,7.5,0,587,0.00%
2210312,Devenish College,1 ALEGO DRIVE,ENNISKILLEN,BT746JL,Secondary,Controlled,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Urban,479,149,31.10%,441,92.1,10,2.1,28,5.8,*,479,*
2230077,"St Mary's High School, Limavady",IRISH GREEN STREET,LIMAVADY,BT499AN,Secondary,Catholic Maintained,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Urban,571,270,47.30%,*,*,563,98.6,#,#,0,571,0.00%
2230081,"St Mary's College, Londonderry",35 NORTHLAND ROAD,LONDONDERRY,BT480AN,Secondary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,866,498,57.50%,*,*,851,98.3,#,#,17,866,2.00%
2230085,"St Mary's High School, Brollagh",160 BROLLAGH ROAD,ENNISKILLEN,BT933AH,Secondary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,84,41,48.80%,*,*,76,90.5,#,#,*,84,*
2230099,St Fanchea's College,21 COA ROAD,ENNISKILLEN,BT746DE,Secondary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Urban,328,124,37.80%,*,*,#,#,*,*,0,328,0.00%
2230100,"St Joseph's College, Enniskillen",57 CHANTERHILL ROAD,ENNISKILLEN,BT746DE,Secondary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Urban,245,103,42.00%,*,*,236,96.3,#,#,*,245,*
2230109,"St Mary's Secondary School, Irvinestown",40 CHURCH STREET,ENNISKILLEN,BT941EL,Secondary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,127,64,50.40%,*,*,120,94.5,*,*,0,127,0.00%
2230122,St Patricks & St Brigids High School,55 MAIN STREET,LONDONDERRY,BT474HR,Secondary,Catholic Maintained,EAST LONDONDERRY,DERRY CITY AND STRABANE,Rural,499,223,44.70%,7,1.4,483,96.8,9,1.8,5,499,1.00%
2230131,"St Joseph's Secondary School, Londonderry",WESTWAY,LONDONDERRY,BT489NX,Secondary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,791,534,67.50%,0,0,787,99.5,4,0.5,*,791,*
2230138,Dean Maguirc College,26 TERMON ROAD,OMAGH,BT799JR,Secondary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,509,202,39.70%,*,*,#,#,*,*,11,509,2.20%
2230144,"St Patrick's College, Dungiven",9 CURRAGH ROAD,LONDONDERRY,BT474SE,Secondary,Catholic Maintained,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Rural,241,117,48.50%,*,*,#,#,0,0,*,241,*
2230148,St John's College,37 OMAGH ROAD,OMAGH,BT783AL,Secondary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,178,74,41.60%,0,0,172,96.6,6,3.4,16,178,9.00%
2230166,St Aidan's High School,138 MAIN STREET,ENNISKILLEN,BT929LD,Secondary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,202,66,32.70%,*,*,#,#,*,*,20,202,9.90%
2230180,"St Eugene's College, Roslea",9 MONAGHAN ROAD,ENNISKILLEN,BT927AF,Secondary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,38,10,26.30%,0,0,38,100,0,0,*,38,*
2230188,St Cecilia's College,BLIGH'S LANE,LONDONDERRY,BT489PJ,Secondary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,784,474,60.50%,0,0,779,99.4,5,0.6,*,784,*
2230190,St Comhghall's College,38 NUTFIELD ROAD,ENNISKILLEN,BT920LA,Secondary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,533,258,48.40%,6,1.1,521,97.7,6,1.1,20,533,3.80%
2230225,"St Brigid's College, Carnhill",1 GLENGALLIAGH ROAD,LONDONDERRY,BT488DU,Secondary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,600,421,70.20%,*,*,585,97.5,#,#,5,600,0.80%
2230298,"Sacred Heart College, Omagh",KEVLIN ROAD,OMAGH,BT781LG,Secondary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Urban,767,374,48.80%,0,0,756,98.6,11,1.4,35,767,4.60%
2230301,Holy Cross College,35 MELMOUNT ROAD,STRABANE,BT829EF,Secondary,Catholic Maintained,WEST TYRONE,DERRY CITY AND STRABANE,Urban,1564,667,42.60%,*,*,1559,99.7,*,*,13,1564,0.80%
