SeedCode,SchUID,SchoolType,CentreType,SchoolName,AddressLine1,AddressLine2,AddressLine3,PostCode,LAName,LACode,DataZone,UPRN,Email,Phone,Website,Denomination,FTETeacher,PupilRoll,PropPupilsMinorityEthnic,PropPupils20PCMostDeprived,DZSIMDPercentile,DZSIMDMostDep15Pct,DZSIMDMostDep16_25Pct,DZSIMDMostDep25Pct,AddrUR8,AddrUR6,AddrUR8Desc,AddrUR6Desc,DZUR8,DZUR6,DZUR8Desc,DZUR6Desc,GridRefEasting,GridRefNorthing,Latitude,Longitude,Notes
8212627,8212627P,Primary,Local Authority,Abbey Primary School,Claremont Crescent,,KILWINNING,KA13 7HG,North Ayrshire,S12000021,S01011295,126060678,abbey@ea.n-ayrshire.sch.uk,01294 552251,https://blogs.glowscotland.org.uk/na/abbeyprimaryschool/,Non-denominational,15.4,232,*,50 - <55%,58,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,229844,643638,55.656374,-4.706148,
5520924,5520924P,Primary,Local Authority,Abbeyhill Primary School,Abbey Street,Edinburgh,,EH7 5SJ,City of Edinburgh,S12000036,S01008686,906353988,admin@abbeyhill.edin.sch.uk,0131 661 3054,http://www.abbeyhill.edin.sch.uk/,Non-denominational,10.1,182,>20%,5 - <10%,33,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,327072,674333,55.956455,-3.169583,
5237521,5237521P,Primary,Local Authority,Abbotswell School,Faulds Gate,Kincorth,ABERDEEN,AB12 5QX,Aberdeen City,S12000033,S01006604,9051057476,abbotswell@aberdeencity.gov.uk,01224 872714,http://www.abbotswell.aberdeen.sch.uk/,Non-denominational,15.7,229,10 - <20%,15 - <20%,45,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,393390,803472,57.122118,-2.110807,
5212227,5212227P,Primary,Local Authority,Aberchirder School,Smith Crescent,Aberchirder Huntly,ABERDEENSHIRE,AB54 7TW,Aberdeenshire,S12000034,S01007030,151086442,aberchirder.sch@aberdeenshire.gov.uk,01466 405920,http://www.aberchirder.aberdeenshire.sch.uk/,Non-denominational,6.7,110,*,0%,41,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,7,6,Remote Rural Areas,Remote Rural Areas,362580,852712,57.562920,-2.627106,
8448647,8448647SP,Special,Local Authority,Abercorn Secondary School,195 Garscube Road,,GLASGOW,G4 9QH,Glasgow City,S12000049,S01010297,906700048474,headteacher@abercorn-sec.glasgow.sch.uk,0141 332 6212,http://www.abercorn-sec.glasgow.sch.uk/,Non-denominational,30.5,140,>20%,65 - <70%,14,Y,N,Y,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,258592,666569,55.871469,-4.261538,
5701929,5701929P,Primary,Local Authority,Abercromby Primary School,Tullibody South Campus,The Orchard,TULLIBODY,FK10 2SD,Clackmannanshire,S12000005,S01007409,35029493,abercromby@edu.clacks.gov.uk,01259 452213,https://blogs.glowscotland.org.uk/cl/abercrombyprimaryandnursery/,Non-denominational,22.8,321,*,50 - <55%,47,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,Accessible Small Towns,Accessible Small Towns,285658,694847,56.132598,-3.841288,"School Contacts List UPRN (35022360) is not in SAD 2024 Q1.  GISAT has assigned the UPRN from Tullibody South Campus (35029493), which shares the site."
5244439,5244439S,Secondary,Local Authority,Aberdeen Grammar School,Skene Street,Aberdeen,,AB10 1HT,Aberdeen City,S12000033,S01006564,9051064936,aberdeengrammarschool@aberdeencity.gov.uk,01224 642299,http://www.grammar.org.uk,Non-denominational,107.4,1205,>20%,*,48,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,393083,806234,57.146924,-2.115954,
5245044,5245044SP,Special,Local Authority,Aberdeen School for the Deaf,Sunnybank School,Sunnybank Road,ABERDEEN,AB24 3NJ,Aberdeen City,S12000033,S01006664,9051070661,schoolfordeaf@aberdeencity.gov.uk,01224 261722,,Non-denominational,6.3,11,*,*,76,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,393758,807666,57.159797,-2.104835,
5440327,5440327P,Primary,Local Authority,Aberdour Primary School,Hawkcraig Road,Aberdour,BURNTISLAND,KY3 0UP,Fife,S12000047,S01009454,320189383,aberdourps.enquiries@fife.gov.uk,01383 602442,http://www.fifedirect.org.uk/aberdourps,Non-denominational,11.7,148,5 - <10%,0%,76,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,319464,685543,56.055931,-3.294760,
5720028,5720028P,Primary,Local Authority,Aberfoyle Primary School,Lochard Road,Aberfoyle,,FK8 3SZ,Stirling,S12000030,S01013117,122000209,aberps@stirling.gov.uk,01877 382278,http://www.aberfoyleparents.org.uk/,Non-denominational,5.0,65,*,0%,69,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,7,6,Remote Rural Areas,Remote Rural Areas,251541,701239,56.180573,-4.393309,
5400724,5400724P,Primary,Local Authority,Aberhill Primary School,Wellesley Road,Methil,LEVEN,KY8 3AD,Fife,S12000047,S01009636,320179203,Aberhillps.enquiries@fife.gov.uk,01334 659446,http://www.fife.gov.uk/atoz/index.cfm?fuseaction=facility.display&ORGID=60304273-A856-11D6-BF4D0002A5349AC9&facid=C35EFFDA-A152-44C9-84F09F714F89D4F2,Non-denominational,17.5,276,10 - <20%,95 - <100%,2,Y,N,Y,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,337311,699931,56.187852,-3.011636,
5552621,5552621P,Primary,Local Authority,Aberlady Primary School,Moor Road,Aberlady,EAST LOTHIAN,EH32 0RQ,East Lothian,S12000010,S01008243,138023600,aberlady.ps@aberlady.elcshool.org.uk,01875 870232,http://edubuzz.org/aberlady/,Non-denominational,8.5,147,5 - <10%,0%,79,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,346203,679717,56.007352,-2.864310,
5300126,5300126P,Primary,Local Authority,Aberlemno Primary School,School Road,Aberlemno,FORFAR,DD8 3PE,Angus,S12000041,S01007228,117097853,Aberlemno@angusschools.org.uk,01307 494250,http://www.aberlemno.angus.sch.uk/,Non-denominational,2.7,11,0%,*,48,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,352155,755864,56.692032,-2.782763,
5209722,5209722P,Primary,Local Authority,Aberlour Primary School,Mary Avenue,Aberlour,MORAY,AB38 9PN,Moray,S12000020,S01011052,133002295,admin.aberlourp@moray-edunet.gov.uk,01340 871255,https://twitter.com/aberlourps?lang=en,Non-denominational,8.2,105,*,0%,75,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,326587,842772,57.469234,-3.225587,
5145023,5145023P,Primary,Local Authority,Abernethy Primary School,Nethybridge,,,PH25 3ED,Highland,S12000017,S01010542,130110305,abernethy.primary@highland.gov.uk,01479 821274,http://abernethyprimary.org.uk,Non-denominational,4.8,89,*,0%,69,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,7,6,Remote Rural Areas,Remote Rural Areas,300948,821212,57.270770,-3.644176,
5340128,5340128P,Primary,Local Authority,Abernethy Primary School,78 Main Street,Abernethy,,PH2 9LA,Perth and Kinross,S12000048,S01011885,124079344,Abernethy@pkc.gov.uk,01738 472676,http://abernethyprimaryschool.schoolwebsite.scot/,Non-denominational,8.0,129,*,0%,91,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,319210,716529,56.334203,-3.308278,
5340225,5340225P,Primary,Local Authority,Abernyte Primary School,Abernyte,Inchture,,PH14 9ST,Perth and Kinross,S12000048,S01011967,124062128,Abernyte@pkc.gov.uk,01738 459590,http://www.abernyteprimary.co.uk/,Non-denominational,2.7,27,0%,0%,70,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,325874,731111,56.466279,-3.204648,
5340322,5340322P,Primary,Local Authority,Aberuthven Primary School,Main Road,Aberuthven,PERTHSHIRE,PH3 1HE,Perth and Kinross,S12000048,S01011871,124040503,Aberuthven@pkc.gov.uk,01764 661410,https://blogs.glowscotland.org.uk/pk/aberuthvenprimaryschool/,Non-denominational,2.8,36,*,*,60,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,297916,715415,56.320085,-3.652102,
8545022,8545022P,Primary,Local Authority,Abington Primary School,Carlisle Road,Abington,BIGGAR,ML12 6SD,South Lanarkshire,S12000029,S01012572,484181069,office@abington-pri.s-lanark.sch.uk,01864 502341,http://www.abington-pri.s-lanark.sch.uk/,Non-denominational,4.1,40,0%,*,41,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,293120,623660,55.495003,-3.693299,
5257530,5257530S,Secondary,Local Authority,Aboyne Academy,Bridgeview Road,Aboyne,ABERDEENSHIRE,AB34 5JN,Aberdeenshire,S12000034,S01006795,151085007,aboyne.aca@aberdeenshire.gov.uk,01339 267750,http://aboyneacademy.aberdeenshire.sch.uk,Non-denominational,60.6,669,0 - <5%,0%,82,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,7,6,Remote Rural Areas,Remote Rural Areas,351879,798548,57.075419,-2.795361,
5256127,5256127P,Primary,Local Authority,Aboyne Primary School,Morven Plance,Aboyne,ABERDEENSHIRE,AB34 5JN,Aberdeenshire,S12000034,S01006795,151650719,aboyne.sch@aberdeenshire.gov.uk,01339 267680,https://aboyne-pri.aberdeenshire.sch.uk,Non-denominational,16.5,240,0 - <5%,0%,82,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,7,6,Remote Rural Areas,Remote Rural Areas,351876,798437,57.074419,-2.795396,
