urn,status,reason,school_rows_updated,absence_inserted,absence_rows_updated,total_pupils,percentage_fsm,english_score,math_score,science_score,attendance_pct
6602130,ok,,1,0,1,262,,,,,
6602131,ok,,1,0,1,40,,,,,
6602132,ok,,1,0,1,98,,,,,
6602133,ok,,1,0,1,82,,,,,
6602135,ok,,1,0,1,43,,,,,
6602136,ok,,1,0,1,30,,,,,
6602138,ok,,1,0,1,65,,,,,
6602140,ok,,1,0,1,142,,,,,
6602142,ok,,1,0,1,87,,,,,
6602145,ok,,1,0,1,55,,,,,
6602146,ok,,1,0,1,17,,,,,
6602152,ok,,1,0,1,335,,,,,
6602153,ok,,1,0,1,77,,,,,
6602154,ok,,1,0,1,357,,,,,
6602155,ok,,1,0,1,87,,,,,
6602156,ok,,1,0,1,94,,,,,
6602157,ok,,1,0,1,132,,,,,
6602160,ok,,1,0,1,72,,,,,
6602161,ok,,1,0,1,87,,,,,
6602162,ok,,1,0,1,65,,,,,
6602163,ok,,1,0,1,110,,,,,
6602164,ok,,1,0,1,90,,,,,
6602165,ok,,1,0,1,74,,,,,
6602168,ok,,1,0,1,114,,,,,
6602169,ok,,1,0,1,261,,,,,
6602170,ok,,1,0,1,148,,,,,
6602173,ok,,1,0,1,116,,,,,
6602174,ok,,1,0,1,164,,,,,
6602175,ok,,1,0,1,212,,,,,
6602176,ok,,1,0,1,175,,,,,
6602177,ok,,1,0,1,185,,,,,
6602226,ok,,1,0,1,315,,,,,
6602227,ok,,1,0,1,125,,,,,
6602228,ok,,1,0,1,107,,,,,
6603036,ok,,1,0,1,446,,,,,
6603037,ok,,1,0,1,113,,,,,
6603304,ok,,1,0,1,107,,,,,
6604025,ok,,1,0,1,539,,,,,
6604026,ok,,1,0,1,843,,,,,
6604027,ok,,1,0,1,736,,,,,
6604028,ok,,1,0,1,1097,,,,,
6604029,ok,,1,0,1,766,,,,,
6605200,ok,,1,0,1,334,,,,,
6607011,ok,,1,0,1,118,,,,,
6612000,ok,,1,0,1,130,,,,,
6612004,ok,,1,0,1,137,,,,,
6612006,ok,,1,0,1,250,,,,,
6612008,ok,,1,0,1,70,,,,,
6612010,ok,,1,0,1,31,,,,,
6612011,ok,,1,0,1,149,,,,,
6612013,ok,,1,0,1,55,,,,,
6612015,ok,,1,0,1,31,,,,,
6612017,ok,,1,0,1,64,,,,,
6612026,ok,,1,0,1,230,,,,,
6612028,ok,,1,0,1,117,,,,,
6612033,ok,,1,0,1,115,,,,,
6612036,ok,,1,0,1,89,,,,,
6612039,ok,,1,0,1,61,,,,,
6612042,ok,,1,0,1,140,,,,,
6612046,ok,,1,0,1,77,,,,,
6612048,ok,,1,0,1,86,,,,,
6612049,ok,,1,0,1,21,,,,,
6612060,ok,,1,0,1,96,,,,,
6612066,ok,,1,0,1,29,,,,,
6612069,ok,,1,0,1,277,,,,,
6612070,ok,,1,0,1,66,,,,,
6612075,ok,,1,0,1,23,,,,,
6612078,ok,,1,0,1,19,,,,,
6612081,ok,,1,0,1,14,,,,,
6612085,ok,,1,0,1,45,,,,,
6612089,ok,,1,0,1,201,,,,,
