School_Number,School_Name,LA_Code,Local_Authority,Sector,Governance,WM_Code,Welsh_Medium_Type,School_Type,Religious_Character,Address1,Address2,Address3,Address4,Postcode,Phone_Number,Pupils,fsm_3yr_pct,pupil_teacher_ratio,attendance_pct,school_budget_per_pupil,capped9_points,literacy_points,numeracy_points,science_points,welsh_bacc_points,estyn_report_url
6602130,Ysgol Gynradd Amlwch,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Amlwch,Ynys Môn,,,LL68 9DU,01407830414,262,,,,,,,,,,
6602131,Ysgol Gynradd Beaumaris,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Maeshyfryd,Beaumaris,Ynys Môn,,LL58 8HL,01248810451,40,,,,,,,,,,
6602132,Ysgol Gynradd Bodedern,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bodedern,Caergybi,Ynys Môn,,LL65 3TZ,01407740201,98,,,,,,,,,,
6602133,Ysgol Gymuned Bodffordd,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bodffordd,Llangefni,Ynys Môn,,LL77 7LZ,01248723384,82,,,,,,,,,,
6602135,Ysgol Gymuned Bryngwran,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bryngwran,Caergybi,Ynys Môn,,LL65 3PP,01407720400,43,,,,,,,,,,
6602136,Ysgol Gynradd Brynsiencyn,660,Isle of Anglesey,Primary,Foundation,WM,Welsh medium,"Nursery, Infants & Juniors",---,Brynsiencyn,Llanfairpwll,Ynys Môn,,LL61 6HZ,01248430457,30,,,,,,,,,,
6602138,Ysgol Cemaes,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Cemaes,Ynys Môn,,,LL67 0LB,01407710225,65,,,,,,,,,,
6602140,Ysgol Esceifiog,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Y Gaerwen,Ynys Môn,,,LL60 6DD,01248421669,142,,,,,,,,,,
6602142,Ysgol Gymuned y Ffridd,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Gwalchmai,Caergybi,Ynys Môn,,LL65 4SG,01407720477,87,,,,,,,,,,
6602145,Ysgol Gymuned Moelfre,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Moelfre,Ynys Môn,,,LL72 8NA,01248410546,55,,,,,,,,,,
6602146,Ysgol Gynradd Llanbedrgoch,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanbedrgoch,Ynys Môn,,,LL76 8SX,01248450291,17,,,,,,,,,,
6602152,Ysgol Gynradd Llanfairpwll,660,Isle of Anglesey,Primary,Foundation,WM,Welsh medium,Infants & Juniors,---,Llanfairpwll,Ynys Môn,,,LL61 5TX,01248714478,335,,,,,,,,,,
6602153,Ysgol Gymuned Llanfechell,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanfechell,Amlwch,Ynys Môn,,LL68 0SA,01407710512,77,,,,,,,,,,
6602154,Ysgol Y Graig,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Colleg,Lon Talwrn,Llangefni,Ynys Môn,LL77 7LP,01248723092,357,,,,,,,,,,
6602155,YSGOL GYNRADD LLANGOED,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llangoed,Beaumaris,Ynys Môn,,LL58 8LU,01248490680,87,,,,,,,,,,
6602156,Ysgol Henblas,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Llangristiolus,Bodorgan,Ynys Môn,,LL62 5DR,01248723944,94,,,,,,,,,,
6602157,Ysgol Gymuned Llannerch-y-medd,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanerchymedd,Ynys Môn,,,LL71 8DP,01248470466,132,,,,,,,,,,
6602160,Ysgol Pencarnisiog,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pencarnisiog,Ty Croes,Ynys Môn,,LL63 5RY,01407810622,72,,,,,,,,,,
