School Number,School Name,LA Code,Local Authority,Sector,Governance - see notes,WM Code,Welsh Medium Type - see notes,School Type,Religious Character,Address 1,Address 2,Address 3,Address 4,Postcode,Phone Number,Pupils - see notes,fsm_3yr_pct,pupil_teacher_ratio,attendance_pct,school_budget_per_pupil,capped9_points,literacy_points,numeracy_points,science_points,welsh_bacc_points,estyn_report_url,latitude,longitude
6602130,Ysgol Gynradd Amlwch,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Amlwch,Ynys Môn,,,LL68 9DU,01407830414,262,,,,,,,,,,,53.4116301,-4.3475549
6602131,Ysgol Gynradd Beaumaris,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Maeshyfryd,Beaumaris,Ynys Môn,,LL58 8HL,01248810451,40,,,,,,,,,,,53.2646442,-4.1027545
6602132,Ysgol Gynradd Bodedern,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bodedern,Caergybi,Ynys Môn,,LL65 3TZ,01407740201,98,,,,,,,,,,,53.2933185,-4.499105399999999
6602133,Ysgol Gymuned Bodffordd,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bodffordd,Llangefni,Ynys Môn,,LL77 7LZ,01248723384,82,,,,,,,,,,,53.2642,-4.36145
6602135,Ysgol Gymuned Bryngwran,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bryngwran,Caergybi,Ynys Môn,,LL65 3PP,01407720400,43,,,,,,,,,,,53.2687925,-4.4772278
6602136,Ysgol Gynradd Brynsiencyn,660,Isle of Anglesey,Primary,Foundation,WM,Welsh medium,"Nursery, Infants & Juniors",---,Brynsiencyn,Llanfairpwll,Ynys Môn,,LL61 6HZ,01248430457,30,,,,,,,,,,,53.2211356,-4.2040616
6602138,Ysgol Cemaes,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Cemaes,Ynys Môn,,,LL67 0LB,01407710225,65,,,,,,,,,,,53.40816239999999,-4.4558506
6602140,Ysgol Esceifiog,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Y Gaerwen,Ynys Môn,,,LL60 6DD,01248421669,142,,,,,,,,,,,53.2213631,-4.2788623
6602142,Ysgol Gymuned y Ffridd,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Gwalchmai,Caergybi,Ynys Môn,,LL65 4SG,01407720477,87,,,,,,,,,,,53.2535313,-4.4139433
6602145,Ysgol Gymuned Moelfre,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Moelfre,Ynys Môn,,,LL72 8NA,01248410546,55,,,,,,,,,,,53.3538311,-4.2411251
6602146,Ysgol Gynradd Llanbedrgoch,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanbedrgoch,Ynys Môn,,,LL76 8SX,01248450291,17,,,,,,,,,,,53.30142799999999,-4.2318922
6602152,Ysgol Gynradd Llanfairpwll,660,Isle of Anglesey,Primary,Foundation,WM,Welsh medium,Infants & Juniors,---,Llanfairpwll,Ynys Môn,,,LL61 5TX,01248714478,335,,,,,,,,,,,53.2211356,-4.2040616
6602153,Ysgol Gymuned Llanfechell,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanfechell,Amlwch,Ynys Môn,,LL68 0SA,01407710512,77,,,,,,,,,,,53.3903721,-4.459254
6602154,Ysgol Y Graig,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Colleg,Lon Talwrn,Llangefni,Ynys Môn,LL77 7LP,01248723092,357,,,,,,,,,,,53.260931,-4.2972734
6602155,YSGOL GYNRADD LLANGOED,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llangoed,Beaumaris,Ynys Môn,,LL58 8LU,01248490680,87,,,,,,,,,,,53.2918033,-4.0904224
6602156,Ysgol Henblas,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Llangristiolus,Bodorgan,Ynys Môn,,LL62 5DR,01248723944,94,,,,,,,,,,,53.23581799999999,-4.3540155
6602157,Ysgol Gymuned Llannerch-y-medd,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanerchymedd,Ynys Môn,,,LL71 8DP,01248470466,132,,,,,,,,,,,53.3313345,-4.3755613
6602160,Ysgol Pencarnisiog,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pencarnisiog,Ty Croes,Ynys Môn,,LL63 5RY,01407810622,72,,,,,,,,,,,53.2349186,-4.469570099999999
6602161,Ysgol Gymuned Pentraeth,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pentraeth,Ynys Môn,,,LL75 8UP,01248450315,87,,,,,,,,,,,53.28170060000001,-4.2184896
6602162,Ysgol Penysarn,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penysarn,Ynys Môn,,,LL69 9AZ,01407830678,65,,,,,,,,,,,53.390522,-4.3142169
6602163,Ysgol Santes Gwenfaen,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhoscolyn,Caergybi,Ynys Môn,,LL65 2DX,01407860264,110,,,,,,,,,,,53.2473801,-4.6099532
6602164,Ysgol Gynradd Rhosneigr,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhosneigr,Ynys Môn,,,LL64 5XA,01407810571,90,,,,,,,,,,,53.2312938,-4.517074099999999
6602165,Ysgol Gynradd Rhosybol,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Rhosybol,Amlwch,Ynys Môn,,LL68 9PP,01407830484,74,,,,,,,,,,,53.4116301,-4.3475549
6602168,Ysgol Gymuned y Fali,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Y Fali,Ynys Môn,,,LL65 3EU,01407740518,114,,,,,,,,,,,53.2810516,-4.5686521
