School Number,School Name,LA Code,Local Authority,Sector,Governance - see notes,WM Code,Welsh Medium Type - see notes,School Type,Religious Character,Address 1,Address 2,Address 3,Address 4,Postcode,Phone Number,Pupils - see notes,fsm_3yr_pct,pupil_teacher_ratio,attendance_pct,school_budget_per_pupil,capped9_points,literacy_points,numeracy_points,science_points,welsh_bacc_points,estyn_report_url
6602130,Ysgol Gynradd Amlwch,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Amlwch,Ynys Môn,,,LL68 9DU,01407830414,262.0,18.9,17.7,92.6,5053.0,,,,,,http://www.estyn.gov.wales/provider/6602130
6602131,Ysgol Gynradd Beaumaris,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Maeshyfryd,Beaumaris,Ynys Môn,,LL58 8HL,01248810451,40.0,28.9,15.8,90.7,9324.0,,,,,,http://www.estyn.gov.wales/provider/6602131
6602132,Ysgol Gynradd Bodedern,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bodedern,Caergybi,Ynys Môn,,LL65 3TZ,01407740201,98.0,18.1,17.1,91.5,6083.0,,,,,,http://www.estyn.gov.wales/provider/6602132
6602133,Ysgol Gymuned Bodffordd,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bodffordd,Llangefni,Ynys Môn,,LL77 7LZ,01248723384,82.0,6.9,23.1,93.1,5947.0,,,,,,http://www.estyn.gov.wales/provider/6602133
6602135,Ysgol Gymuned Bryngwran,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bryngwran,Caergybi,Ynys Môn,,LL65 3PP,01407720400,43.0,9.5,15.0,92.4,8095.0,,,,,,http://www.estyn.gov.wales/provider/6602135
6602136,Ysgol Gynradd Brynsiencyn,660.0,Isle of Anglesey,Primary,Foundation,WM,Welsh medium,"Nursery, Infants & Juniors",---,Brynsiencyn,Llanfairpwll,Ynys Môn,,LL61 6HZ,01248430457,30.0,12.2,11.8,92.5,10172.0,,,,,,http://www.estyn.gov.wales/provider/6602136
6602138,Ysgol Cemaes,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Cemaes,Ynys Môn,,,LL67 0LB,01407710225,65.0,29.1,17.8,92.9,6571.0,,,,,,http://www.estyn.gov.wales/provider/6602138
6602140,Ysgol Esceifiog,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Y Gaerwen,Ynys Môn,,,LL60 6DD,01248421669,142.0,13.7,21.9,94.2,5496.0,,,,,,http://www.estyn.gov.wales/provider/6602140
6602142,Ysgol Gymuned y Ffridd,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Gwalchmai,Caergybi,Ynys Môn,,LL65 4SG,01407720477,87.0,18.9,16.3,92.2,6063.0,,,,,,http://www.estyn.gov.wales/provider/6602142
6602145,Ysgol Gymuned Moelfre,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Moelfre,Ynys Môn,,,LL72 8NA,01248410546,55.0,41.4,13.5,93.3,7444.0,,,,,,http://www.estyn.gov.wales/provider/6602145
6602146,Ysgol Gynradd Llanbedrgoch,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanbedrgoch,Ynys Môn,,,LL76 8SX,01248450291,17.0,12.8,7.6,94.2,15571.0,,,,,,http://www.estyn.gov.wales/provider/6602146
